Time [s],Valor real do potenciômetro
4.180073842,3.678
4.200073842,3.678
4.220073842,3.683
4.240073842,3.678
4.260073842,3.678
4.280073842,3.678
4.300073842,3.678
4.320073842,3.683
4.340073842,3.683
4.360073842,3.678
4.380073842,3.678
4.400073842,3.678
4.420073842,3.683
4.440073842,3.683
4.460073842,3.683
4.480073842,3.678
4.500073842,3.678
4.520073842,3.683
4.540073842,3.683
4.560073842,3.683
4.580073842,3.683
4.600073842,3.678
4.620073842,3.683
4.640073842,3.683
4.660073842,3.683
4.680073842,3.678
4.700073842,3.678
4.720073842,3.683
4.740073842,3.683
4.760073842,3.678
4.780073842,3.678
4.800073842,3.678
4.820073842,3.683
4.840073842,3.678
4.860073842,3.678
4.880073842,3.683
4.900073842,3.683
4.920073842,3.683
4.940073842,3.683
4.960073842,3.683
4.980073842,3.678
5.000073842,3.678
5.020073842,3.678
5.040073842,3.683
5.060073842,3.678
5.080073842,3.678
5.100073842,3.678
5.120073842,3.683
5.140073842,3.683
5.160073842,3.678
5.180073842,3.683
5.200073842,3.678
5.220073842,3.678
5.240073842,3.683
5.260073842,3.683
5.280073842,3.678
5.300073842,3.678
5.320073842,3.683
5.340073842,3.683
5.360073842,3.678
5.380073842,3.678
5.400073842,3.678
5.420073842,3.683
5.440073842,3.678
5.460073842,3.673
5.480073842,3.678
5.500073842,3.678
5.520073842,3.673
5.540073842,3.678
5.560073842,3.678
5.580073842,3.678
5.600073842,3.678
5.620073842,3.678
5.640073842,3.678
5.660073842,3.678
5.680073842,3.678
5.700073842,3.678
5.720073842,3.678
5.740073842,3.678
5.760073842,3.673
5.780073842,3.673
5.800073842,3.678
5.820073842,3.678
5.840073842,3.678
5.860073842,3.678
5.880073842,3.678
5.900073842,3.678
5.920073842,3.683
5.940073842,3.678
5.960073842,3.678
5.980073842,3.678
6.000073842,3.678
6.020073842,3.678
6.040073842,3.678
6.060073842,3.683
6.080073842,3.683
6.100073842,3.678
6.120073842,3.683
6.140073842,3.689
6.160073842,3.678
6.180073842,3.673
6.200073842,3.678
6.220073842,3.678
6.240073842,3.678
6.260073842,3.683
6.280073842,3.683
6.300073842,3.678
6.320073842,3.683
6.340073842,3.683
6.360073842,3.683
6.380073842,3.678
6.400073842,3.683
6.420073842,3.683
6.440073842,3.683
6.460073842,3.683
6.480073842,3.678
6.500073842,3.683
6.520073842,3.683
6.540073842,3.683
6.560073842,3.683
6.580073842,3.678
6.600073842,3.678
6.620073842,3.678
6.640073842,3.683
6.660073842,3.678
6.680073842,3.683
6.700073842,3.678
6.720073842,3.689
6.740073842,3.683
6.760073842,3.678
6.780073842,3.683
6.800073842,3.683
6.820073842,3.683
6.840073842,3.683
6.860073842,3.683
6.880073842,3.683
6.900073842,3.683
6.920073842,3.683
6.940073842,3.678
6.960073842,3.683
6.980073842,3.678
7.000073842,3.683
7.020073842,3.678
7.040073842,3.683
7.060073842,3.683
7.080073842,3.678
7.100073842,3.683
7.120073842,3.689
7.140073842,3.683
7.160073842,3.678
7.180073842,3.678
7.200073842,3.683
7.220073842,3.683
7.240073842,3.683
7.260073842,3.673
7.280073842,3.673
7.300073842,3.678
7.320073842,3.678
7.340073842,3.678
7.360073842,3.678
7.380073842,3.678
7.400073842,3.678
7.420073842,3.678
7.440073842,3.673
7.460073842,3.678
7.480073842,3.678
7.500073842,3.683
7.520073842,3.673
7.540073842,3.683
7.560073842,3.678
7.580073842,3.678
7.600073842,3.678
7.620073842,3.678
7.640073842,3.678
7.660073842,3.678
7.680073842,3.678
7.700073842,3.678
7.720073842,3.678
7.740073842,3.678
7.760073842,3.683
7.780073842,3.678
7.800073842,3.678
7.820073842,3.683
7.840073842,3.678
7.860073842,3.673
7.880073842,3.673
7.900073842,3.678
7.920073842,3.683
7.940073842,3.683
7.960073842,3.683
7.980073842,3.678
8.000073842,3.678
8.020073842,3.678
8.040073842,3.678
8.060073842,3.673
8.080073842,3.678
8.100073842,3.678
8.120073842,3.678
8.140073842,3.683
8.160073842,3.683
8.180073842,3.683
8.200073842,3.683
8.220073842,3.678
8.240073842,3.673
8.260073842,3.683
8.280073842,3.678
8.300073842,3.678
8.320073842,3.683
8.340073842,3.678
8.360073842,3.683
8.380073842,3.678
8.400073842,3.683
8.420073842,3.683
8.440073842,3.683
8.460073842,3.683
8.480073842,3.683
8.500073842,3.683
8.520073842,3.683
8.540073842,3.683
8.560073842,3.683
8.580073842,3.678
8.600073842,3.683
8.620073842,3.683
8.640073842,3.683
8.660073842,3.678
8.680073842,3.678
8.700073842,3.683
8.720073842,3.683
8.740073842,3.683
8.760073842,3.683
8.780073842,3.678
